"","site","ID","Aluminum.Tag","Code","Sex","leafN_t0","tillerN_t0","bottomLeafN_t0","Block","tillerN_t1","flowerN_t1","Phenology_t1","flowerLength1_t1","flowerLength2_t1","flowerLength3_t1","Tillering_t1","Moisture.Standard_t1","Moisture.High.Clay_t1","Max.Height_t1","Comments_t1","year","flowerN_t0","Phenology_t0","flowerLength1_t0","flowerLength2_t0","flowerLength3_t0","Tillering_t0","Moisture.Standard_t0","Moisture.High.Clay_t0","Max.Height_t0","Comments_t0","MaxWidth_t1","MaxLength_t1","MaxWidth_t0","MaxLength_t0","sum_widths","clone_area_t0","clone_area_t1","Longitude","Latitude","long.scaled","long.center","unique.block","flow_t1","pc_fn","surv_t1","delta.tiller","log_ratio","ploidy","symb","col"
"1890","ninnescah",67,12,"CWM","M",6,1,0,2,1,0,NA,NA,NA,NA,0,11.6,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.2",0,0,1,0,0,"low",24,"red"
"1891","ninnescah",87,55,"LLELA","F",NA,0,NA,10,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"bromus (japonicus instead of tectorun)",2016,NA,NA,NA,NA,NA,NA,19.6,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.10",NA,NA,0,0,NA,"high",21,"blue"
"1892","ninnescah",81,41,"LLELA","M",7,2,0,7,6,2,"4",0,5.5,NA,0,17.6,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.7",1,0.333333333333333,1,4,1.09861228866811,"high",24,"red"
"1893","ninnescah",147,14,"CWM","M",NA,4,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,0,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,0,0,1,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.3",NA,NA,0,-4,NA,"low",24,"red"
"1894","ninnescah",365,5,"LAR","F",15,6,1,1,0,NA,NA,NA,NA,NA,NA,12.7,NA,NA,"Plastic tag not found, not POAR near metal tag and flag ",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.1",NA,NA,0,-6,NA,"low",21,"blue"
"1895","ninnescah",18,54,"HHC","M",6,2,0,9,0,NA,NA,NA,NA,NA,NA,21.4,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.9",NA,NA,0,-2,NA,"high",24,"red"
"1896","ninnescah",299,83,"SSC","F",NA,0,NA,14,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"Bromus",2016,NA,NA,NA,NA,NA,NA,40.5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.14",NA,NA,0,0,NA,"low",21,"blue"
"1897","ninnescah",58,25,"CWM","F",NA,0,NA,5,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"bromus sea",2016,NA,NA,NA,NA,NA,NA,21.4,NA,NA,"Plastic tag not found; red tag loose and silver tag loose, flag in place ",NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.5",NA,NA,0,0,NA,"low",21,"blue"
"1898","ninnescah",34,3,"HHC","F",NA,7,NA,1,31,22,"3",13.4,12.9,13.1,NA,NA,NA,NA,NA,2017,5,"4",10.5,8.5,8.2,NA,NA,NA,NA,"",68,40,25,11,36,863.937979737193,8545.13201776424,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.1",1,0.709677419354839,1,24,1.48807705542983,"high",21,"blue"
"1899","ninnescah",81,2,"LLELA","M",12,3,0,1,0,NA,NA,NA,NA,NA,NA,9.1,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.1",NA,NA,0,-3,NA,"high",24,"red"
"1900","ninnescah",299,83,"SSC","F",NA,0,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,"",NA,NA,NA,NA,NA,NA,NA,"Bromus",NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.14",NA,NA,NA,NA,NA,"low",21,"blue"
"1901","ninnescah",68,26,"HHC","M",NA,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,"",NA,NA,NA,NA,NA,NA,NA,"bromus sea",NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.5",NA,NA,NA,NA,NA,"high",24,"red"
"1902","ninnescah",292,61,"SSC","F",NA,0,NA,11,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"Bromus",2016,NA,NA,NA,NA,NA,NA,26.8,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,-97.672833,37.538006,0.33691437436773,0.765530357142865,"ninnescah.11",NA,NA,0,0,NA,"low",21,"blue"
